sensor_a,sensor_b,mean_diff_db,iqr_diff_db,quiet55_diff,high65_diff,high70_diff,substantial_dynamic_difference
A015,A055,0.993062565696043,10.490000000000002,0.2757735254148065,0.138999342634159,0.2630423974417742,True
A016,A025,0.2686696284039627,0.4172500000000028,0.0527329670078073,0.0159291343269913,0.0020369027176775,False
A016,A031,0.929095194784452,2.589250000000007,0.1531800764704536,0.0708392792545275,0.0138629896741993,True
A016,A038,0.4739832747807782,2.842249999999998,0.1140199235295464,0.0858189893994551,0.0156948737321703,True
A016,A048,0.3755388959237322,2.5152500000000035,0.0227855425936809,0.1053717560084517,0.0288202728172488,True
A017,A021,0.0086160644803925,2.2849999999999966,0.0417623188405797,0.0440656224620024,0.0082571306062945,False
A017,A028,0.9550281275362308,2.8400000000000025,0.0417623188405797,0.0908985507246376,0.029704347826087,False
A017,A036,0.0080511536231995,4.017000000000001,0.1458782608695651,0.0590144927536231,0.1571710144927536,True
A017,A037,0.3457040695652154,4.941999999999995,0.1109333333333333,0.0782144927536231,0.1659826086956522,True
A017,A041,0.2113986550724576,0.5490000000000066,0.0398608695652174,0.0037565217391303,0.0111072463768116,False
A017,A043,0.9110996871450396,3.396249999999995,0.0349514406210009,0.1386058356116201,0.1248052112463601,True
A017,A045,0.6235463757180781,0.774000000000008,0.0417623188405797,0.0109083198663451,0.0925014508367522,False
A017,A051,0.4562606187987654,4.90299999999999,0.3984611984388409,0.0443393817301004,0.1418367347875095,True
A017,A052,0.8249202282475139,5.195999999999991,0.0178390966930391,0.0532063823182468,0.1971662161469088,True
A017,A054,0.433654725756007,2.4229999999999947,0.0398962738976811,0.0472345468207908,0.1073463403172988,False
A017,A055,0.9175229688372112,8.411000000000001,0.2369321029542306,0.0772839496698483,0.2292946351995473,True
A018,A032,0.4991606620561413,3.8852500000000063,0.1779558145180869,0.0962763753563678,0.0962620702821705,True
A018,A033,0.150287709748035,7.278750000000011,0.1776775536485217,0.0339823384738803,0.1833025153846966,True
A018,A039,0.5822196365524448,3.7047500000000015,0.1779558145180869,0.0660887247210108,0.1298476926174379,True
A018,A049,0.120470473043639,5.638750000000009,0.1281691527983949,0.0758295285788556,0.1502180379962689,True
A019,A023,0.7759047091135116,5.4580000000000055,0.0657425782152738,0.2020281410508652,0.0538565964826809,True
A019,A026,0.0449015323019139,4.122,0.0523164912587521,0.1431527787320246,0.0197696399609418,True
A019,A027,0.9818407637827348,0.3189999999999937,0.0698977744493227,0.0900824784226997,0.0089661738552415,False
A020,A022,0.084889259136041,0.9039999999999964,0.2379464339852748,0.0138253917137894,0.0094745265999034,True
A020,A024,0.0026927999999983,1.7860000000000014,0.2556521739130435,0.0559304347826086,0.0041043478260869,True
A020,A028,0.6998037797101375,3.1099999999999985,0.2567420289855072,0.0376811594202897,0.0007420289855072,True
A020,A029,0.6132994318840588,9.71,0.3377159420289855,0.1340057971014493,0.2028753623188406,True
A020,A031,0.6982235362318789,2.409000000000006,0.0846144927536232,0.0013217391304347,0.0082086956521739,False
A020,A047,0.1038537785023265,2.9119999999999973,0.2061461658292512,0.0772290111210106,0.1201392258239738,True
A020,A050,0.4121571942028907,3.5090000000000003,0.2197797101449276,0.0675942028985507,0.1120231884057971,True
A020,A056,0.4676443587731071,1.139000000000003,0.0753144241140592,0.0603739993332157,0.0822113549449903,False
A021,A028,0.9464120630558384,0.5550000000000059,0.0,0.0468329282626351,0.0214472172197925,False
A021,A036,0.016667218103592,6.301999999999998,0.1876405797101449,0.1030801152156256,0.1654281450990481,True
A021,A037,0.3543201340456079,7.226999999999991,0.152695652173913,0.1222801152156256,0.1742397393019467,True
A021,A041,0.202782590592065,1.73599999999999,0.0019014492753623,0.0403091007228721,0.002850115770517,False
A021,A043,0.9197157516254322,5.681249999999992,0.0068108782195788,0.1826714580736226,0.1330623418526546,True
A021,A045,0.6321624401984707,1.5109999999999886,0.0,0.0549739423283476,0.1007585814430467,False
A021,A051,0.4476445543183729,7.187999999999986,0.4402235172794206,0.0884050041921029,0.1500938653938039,True
A021,A052,0.8335362927279064,7.480999999999987,0.0596014155336189,0.0972720047802493,0.2054233467532032,True
A021,A054,0.4422707902363996,4.707999999999991,0.0816585927382608,0.0913001692827933,0.1156034709235933,True
A021,A055,0.9261390333176038,10.695999999999998,0.2786944217948103,0.1213495721318508,0.2375517658058418,True
A022,A024,0.0821964591360426,0.882000000000005,0.0177057399277686,0.0421050430688191,0.0135788744259904,False
A022,A028,0.6149145205740965,2.206000000000002,0.0187955950002323,0.0238557677065003,0.0102165555854107,False
A022,A029,0.6981886910200998,10.613999999999995,0.5756623760142604,0.1478311888152388,0.1934008357189371,True
A022,A031,0.78311279536792,3.3130000000000024,0.3225609267388981,0.0125036525833547,0.0012658309477294,True
A022,A047,0.0189645193662855,3.8159999999999936,0.4440925998145261,0.0910544028348001,0.1106646992240704,True
